text, url 순

공지사항, /msgbrd/DGU701
양식함, /msgbrd/ReportSampleBoard
팀 생성, /teammgt/DGU201
나의 팀, /teammgt/DGU211
프로젝트 지원, /pjapply/DGU401
프로젝트 목록, /pjapply/DGU411
보고서 제출, /pjmng/DGU522
만족도조사서, /eval/DGU601
실적 조회, /statistics/statistic
마이페이지 Class : fa fa-user, /mbrmgt/DGU111
로그아웃 Class : fa fa-fw fa-sign-out, /mbrmgt/DGU141
React.js 활용한 데이터 시각화 개발 프로젝트, /pjapply/detail/485
머신러닝 주식 포트폴리오 최적화, /pjapply/detail/476
FMCW 레이더 센서를 활용한 소방안전 인명구조 응용 프로그램 개발, /pjapply/detail/463
수집 데이터 특성에 따른 클라우드 네이티브 기반 데이터 플랫폼 자가 구성(Self-configurable) 기술 (장기), /pjapply/detail/459
IoT 보안 강화를 위한 펌웨어 보안 취약점 분석 시스템, /pjapply/detail/456
Cloud ECM 서버 파일 Auto-Migration Service, /pjapply/detail/455
블록체인 기반 맞춤형 만성질환자 건강관리, /pjapply/detail/449
라즈베리를 활용한 미디어박스의 운영 시스템 개발, /pjapply/detail/444
인공지능을 이용한 3D Mesh 형상 처리, /pjapply/detail/442
XAI 데이터셋 구축 및 알고리즘 트레이닝, /pjapply/detail/440
보안컨테이너 구축, /pjapply/detail/439
간호보조로봇 개발, /pjapply/detail/438
차세대 보안관제 영역인 SOAR(Security Orchestration Automation & Response)환경에서의 Playbook CASE Matching, /pjapply/detail/430
보이싱 피싱 대응을 위한 금융앱 사칭 멀웨어 탐지 시스템 개발, /pjapply/detail/429
DR센서를 통한 정밀 위치자세 전송(LTE-M)개발, /pjapply/detail/380
